タイトル,初期平均,末期平均,減衰率（末期÷初期）
進撃の巨人 チェインパズルフィーバー,1780000.0,1610000.0,0.9
遊戯王クロスデュエル,50850000.0,15646666.666666666,0.31
重装出陣,760000.0,540000.0,0.71
野球つく！！,19886666.666666668,5193333.333333333,0.26
金色のガッシュベル！！ 永遠の絆の仲間たち,205000000.0,61483333.333333336,0.3
金色のコルダ スターライトオーケストラ,98346666.66666667,35243333.333333336,0.36
銀魂 かぶき町大活劇,64990000.0,58700000.0,0.9
鋼の錬金術師 MOBILE,684333333.3333334,30463333.333333332,0.04
防振り ～らいんうぉーず！～,27176666.666666668,986666.6666666666,0.04
青山オペレッタ,10790000.0,2393333.3333333335,0.22
食物語,81726666.66666667,5421666.666666667,0.07
鬼灯の冷徹～地獄のパズルも君次第,9566666.666666666,1106666.6666666667,0.12
魔法科高校の劣等生 リローデッド・メモリ,127100000.0,25233333.333333332,0.2
魔王と100人のお姫様,37893333.333333336,1786666.6666666667,0.05
魔界ウォーズ,190333333.33333334,4453333.333333333,0.02
黒騎士と白の魔王,200666666.66666666,26506666.666666668,0.13
＃コンパス ライブアリーナ,87393333.33333333,22130000.0,0.25
＆0,33316666.666666668,24723333.333333332,0.74
