タイトル,観測月数,売上合計,売上中央値,最大月売上,最終売上月,サービス終了日
モンスターハンター ライダーズ,26,3094960000,94565000.0,453000000,2022-03,2022/06/16
ユアマジェスティ,10,97640000,6620000.0,22840000,2023-08,2023/10/09
ユニティア神託の使徒×終焉の女神,17,227240000,6560000.0,93890000,2020-02,2020/03/31
ユージェネ,14,219440000,17320000.0,27240000,2022-06,2022/12/01
ユートピア・ゲート～双子の女神と未来へのつばさ～,13,130360000,3460000.0,37690000,2021-04,2021/09/30
ラクガキキングダム -あなたの未来を描く育成RPG-,5,95810000,12230000.0,41520000,2021-07,2021/11/02
ラストイデア,12,1038020000,59080000.0,279000000,2020-03,2020/05/29
ラストピリオド - 終わりなき螺旋の物語 -,57,4174270000,61560000.0,238000000,2022-09,2022/12/27
ラピスリライツ 〜この世界のアイドルは魔法が使える〜,9,290540000,27530000.0,74180000,2022-08,2022/10/31
ラブプラス EVERY,7,243330000,28550000.0,91280000,2020-05,2020/08/31
ラブライブ！スクールアイドルフェスティバル2,10,998840000,95735000.0,165000000,2024-01,2024/03/31
ラブライブ！スクールアイドルフェスティバルALL STARS,45,10633580000,206000000.0,761000000,2023-05,2023/06/30
リボルバーズエイト - リボハチ,10,353360000,15145000.0,141000000,2019-10,2019/12/26
リンクスリングス,10,311520000,11660000.0,149000000,2020-04,2020/08/31
リーグ・オブ・ワンダーランド,4,17240000,4385000.0,7610000,2020-01,2020/03/31
ルミア サガ-ちび萌え自由大冒険,11,137560000,3020000.0,57040000,2021-11,2022/01/22
ルミナスフォレスト〜選ばれし三人の勇者たち,21,383090000,5060000.0,81190000,2022-01,2022/03/31
レイヤードストーリーズ ゼロ,8,227310000,25255000.0,64120000,2018-08,2019/01/08
レジェンドオブリング,51,2821150000,23950000.0,194000000,2022-09,2022/11/18
レッド：プライドオブエデン,39,3053340000,35640000.0,428000000,2023-09,2023/12/15
ロストディケイド,46,1344610000,10330000.0,235000000,2023-11,2024/08/05
ロックマンX DiVE,33,1981400000,50750000.0,201000000,2023-06,2023/09/27
ロンドン迷宮譚 ： 本格ミステリー×アイテム探しゲーム,12,178320000,17115000.0,30220000,2022-01,2022/03/17
ワイルドアームズ ミリオンメモリーズ,10,114700000,4940000.0,54200000,2019-09,2020/02/27
ワールド オブ ファイナルファンタジー メリメロ,2,46090000,23045000.0,28010000,2018-03,2018/12/13
ワールドウィッチーズ UNITED FRONT,34,826430000,18965000.0,96660000,2023-07,2023/08/31
ワールドエンドヒーローズ,19,456120000,17170000.0,108000000,2020-05,2020/08/20
ワールドフリッパー,50,4717790000,70010000.0,936000000,2023-12,2024/02/20
ヴァンガード ZERO,41,1742790000,40610000.0,89820000,2023-04,2023/06/30
ヴィーナスランブル,8,69250000,8520000.0,16420000,2018-08,2018/09/30
ヴェルヴェットコード -Velvet Code-,12,80680000,3150000.0,24830000,2023-02,2023/06/28
一血卍傑-ONLINE-,32,240220000,4690000.0,33920000,2020-12,2021/01/25
三国ブレイズ：オンライン三国志RPG,46,1353050000,21115000.0,94870000,2021-11,2021/12/23
三国志ヒーローズ,2,1450000,725000.0,1340000,2020-03,2020/12/22
三国志大戦M：超本格戦略型カードRPG,58,1335690000,15760000.0,134000000,2024-08,2024/10/30
三国志群雄 本格三国RPG,16,629020000,29750000.0,138000000,2022-06,2022/09/01
三極ジャスティス,6,110550000,8195000.0,66460000,2018-11,2019/02/28
乙女神楽 〜ザンビへの鎮魂歌〜,18,656310000,21125000.0,154000000,2020-10,2021/01/28
乱闘三国志～放置群英伝～,11,106820000,3680000.0,32280000,2021-12,2022/01/29
仮面ライダー シティウォーズ,38,1353340000,34385000.0,66830000,2021-02,2021/03/29
仮面ライダー バトルラッシュ,13,156770000,9610000.0,40260000,2019-01,2019/06/27
僕のヒーローアカデミア スマッシュタップ,23,376130000,3850000.0,67600000,2020-04,2020/07/13
八月のシンデレラナイン,82,6358320000,67660000.0,220000000,2024-10,2024/12/17
凍京NECRO SUICIDE MISSION,34,1191430000,20440000.0,223000000,2022-05,2022/06/30
刀使ノ巫女 刻みし一閃の燈火,41,3024780000,58110000.0,202000000,2021-07,2021/10/29
劇的采配！プロ野球リバーサル,30,1233810000,32725000.0,141000000,2021-10,2021/12/16
勇者のくせにこなまいきだDASH!,4,152300000,31825000.0,87000000,2018-07,2019/04/24
千銃士,14,734040000,48130000.0,124000000,2019-04,2019/06/11
名探偵コナンランナー,18,328390000,15925000.0,50180000,2020-09,2020/10/30
咲う アルスノトリア,18,547570000,23995000.0,156000000,2022-11,2023/03/31
夢境ワールド~元素使いの大冒険~,7,94470000,4530000.0,50920000,2021-10,2021/11/26
夢職人と忘れじの黒い妖精,32,3435630000,104500000.0,168000000,2024-09,2024/11/19
夢色キャスト,12,397120000,29235000.0,66580000,2018-12,2019/01/15
太鼓の達人 RHYTHM CONNECT,13,404280000,34010000.0,38800000,2024-11,2024/10/31
妖怪ウォッチ メダルウォーズ,4,96380000,2565000.0,91080000,2020-03,2020/12/03
妖怪ウォッチ ワールド,52,1297610000,14570000.0,161000000,2022-09,2022/12/23
宇宙戦艦ヤマト2202 -Hero's Record-,15,50500000,3090000.0,7740000,2020-06,2020/07/31
実況パワフルサッカー,79,18117730000,208000000.0,535000000,2024-07,2024/09/30
少女歌劇 レヴュースタァライト -Re LIVE-,71,5909730000,68740000.0,468000000,2024-08,2024/09/30
幻想神域 -Link of Hearts-,1,3530000,3530000.0,3530000,2018-02,2018/11/08
幻想神域2 -AURA KINGDOM-,33,1115540000,19450000.0,198000000,2023-04,2023/11/23
幽遊白書 100%本気バトル,53,3398560000,43100000.0,344000000,2022-12,2023/02/21
廻らぬ星のステラリウム,12,391400000,36455000.0,51330000,2025-03,2025/03/10
彼女、お借りします ヒロインオールスターズ,13,184760000,6210000.0,59450000,2022-12,2023/01/25
快感フレーズ CLIMAX,13,59010000,3390000.0,11890000,2020-10,2021/05/31
恋愛プリンセス 恋愛ゲーム・乙女ゲーム女性向け,39,115320000,1890000.0,11690000,2022-12,2023/02/28
恋愛幕末カレシ～恋愛ゲーム・乙女ゲーム女性向け～,76,1940010000,27390000.0,66240000,2024-05,2024/07/30
恋愛戦国ロマネスク 女性向け人気恋愛ゲーム,11,189440000,17740000.0,24860000,2022-08,2023/02/28
戦の海賊,49,684340000,11770000.0,38010000,2022-01,2022/03/31
戦刻ナイトブラッド,18,407450000,16305000.0,76010000,2019-10,2019/12/25
戦国BASARA バトルパーティー,17,1094890000,51030000.0,184000000,2020-10,2020/12/21
戦国大河 - 天下統一シミュレーション,56,1144100000,22705000.0,31170000,2023-07,2023/11/29
戦国幻武～本格軍勢バトル～,25,165570000,2030000.0,31310000,2020-05,2020/08/31
戦姫ストライク,5,80410000,7620000.0,38190000,2020-07,2021/03/31
拡張少女系トライナリー,6,26580000,4350000.0,8580000,2018-06,2018/08/31
新発売　おそ松さんのへそくりウォーズ　〜ニートの攻防〜,55,733700000,10620000.0,40640000,2022-07,2022/10/02
明治東亰恋伽～ハヰカラデヱト～,18,214770000,9895000.0,25740000,2020-05,2020/07/31
星鳴エコーズ,5,44540000,6200000.0,20490000,2020-03,2020/09/16
暁のブレイカーズ  ～アクション・バトル～,9,42600000,2240000.0,19510000,2020-04,2020/10/29
最果てのバベル,8,381190000,22355000.0,188000000,2020-01,2020/04/30
月光彫刻師,23,855420000,32580000.0,98080000,2023-03,2023/05/04
東京コンセプション,15,156460000,3690000.0,44660000,2020-07,2020/07/31
東京喰種 ：re invoke,15,446320000,20650000.0,98980000,2019-09,2019/11/26
東方キャノンボール,11,608330000,44200000.0,187000000,2020-08,2020/10/14
機兵とドラゴン,4,97950000,20535000.0,47690000,2024-07,2024/10/15
機動戦士ガンダム 即応戦線,6,42300000,7635000.0,11500000,2018-08,2019/01/10
機動戦士ガンダム 鉄血のオルフェンズG,12,771890000,51135000.0,136000000,2023-10,2024/01/11
機動都市X：スーパーメカシティ,64,1529810000,24810000.0,70870000,2024-11,2025/01/20
欅のキセキ,42,4853990000,100625000.0,309000000,2021-06,2021/08/31
歌マクロス スマホDeカルチャー,54,5090240000,81190000.0,225000000,2022-06,2022/06/28
武器よさらば,7,82700000,13190000.0,22040000,2018-08,2019/03/25
無職転生 ～ゲームになっても本気だす～,16,491010000,28040000.0,88870000,2022-06,2022/08/31
爆走ドリフターズ,32,298820000,5410000.0,48470000,2023-01,2023/06/13
牧場婚活,28,227180000,7380000.0,20670000,2021-09,2022/03/14
真・三國無双 M,14,638470000,41820000.0,98840000,2024-12,2025/02/20
真・三國無双 斬,48,3413090000,32935000.0,424000000,2022-08,2022/10/27
真・北斗無双,49,2596740000,53030000.0,86360000,2024-12,2025/01/27
社長、バトルの時間です！,8,28800000,4070000.0,7160000,2020-07,2020/10/30
禍つヴァールハイト,22,1667880000,48095000.0,294000000,2021-01,2021/03/31
終末のアーカーシャ,6,203580000,14085000.0,117000000,2021-12,2022/02/14
結城友奈は勇者である 花結いのきらめき,58,2128350000,31520000.0,110000000,2022-10,2022/10/28
美少女戦士セーラームーン　セーラームーンドロップス,6,61270000,6630000.0,22560000,2018-09,2019/03/28
聖剣伝説 ECHOES of MANA,11,1180070000,66690000.0,365000000,2023-02,2023/05/15
聖闘士星矢 シャイニングソルジャーズ,9,110130000,5450000.0,46630000,2020-10,2021/01/13
聖闘士星矢 ゾディアック ブレイブ,54,7911220000,154500000.0,270000000,2022-06,2022/07/28
英雄*戦姫WW,14,179450000,12565000.0,23750000,2022-02,2022/03/29
茜さすセカイでキミと詠う,84,3864230000,39885000.0,155000000,2024-12,2025/02/25
荒野のコトブキ飛行隊  大空のテイクオフガールズ！,22,1462250000,61875000.0,169000000,2020-11,2020/12/14
蒼天のスカイガレオン,34,113460000,2425000.0,21600000,2022-09,2023/05/31
蒼空ファンタジー,12,260170000,4080000.0,141000000,2022-03,2022/05/20
蒼藍の誓い - ブルーオース,36,1505750000,25385000.0,268000000,2023-04,2023/08/31
装甲娘,12,330510000,18910000.0,76500000,2021-04,2021/07/06
誰ガ為のアルケミスト,81,12951610000,140000000.0,429000000,2024-09,2024/11/29
超進化物語,7,61630000,3210000.0,44500000,2019-09,2020/06/25
転生したらスライムだった件 ～魔国連邦創世記～,63,2548770000,26750000.0,256000000,2024-02,2024/05/27
週刊少年ジャンプ オレコレクション！,15,337090000,14750000.0,63540000,2020-07,2020/09/30
進撃の巨人 TACTICS,16,974770000,47820000.0,152000000,2020-07,2020/08/31
進撃の巨人 チェインパズルフィーバー,2,3390000,1695000.0,1780000,2018-12,2019/09/25
遊戯王クロスデュエル,7,227920000,28430000.0,81350000,2023-03,2023/09/04
重装出陣,3,1820000,540000.0,760000,2022-06,2022/12/21
野球つく！！,11,166870000,9770000.0,33220000,2018-11,2019/02/25
金色のガッシュベル！！ 永遠の絆の仲間たち,12,1606600000,123785000.0,292000000,2024-12,2025/01/31
金色のコルダ スターライトオーケストラ,38,2588990000,54320000.0,156000000,2024-03,2024/02/29
銀魂 かぶき町大活劇,10,567650000,56070000.0,76830000,2018-10,2019/01/10
鋼の錬金術師 MOBILE,17,3530380000,117000000.0,1200000000,2023-12,2024/03/29
防振り ～らいんうぉーず！～,16,178110000,4315000.0,39810000,2021-04,2021/09/21
青山オペレッタ,7,41150000,4570000.0,21720000,2024-12,2025/01/15
食物語,24,626860000,13160000.0,118000000,2022-11,2023/04/17
鬼灯の冷徹～地獄のパズルも君次第,24,51670000,890000.0,15000000,2021-08,2021/10/28
魔法科高校の劣等生 リローデッド・メモリ,9,596540000,42180000.0,262000000,2023-02,2023/08/14
魔王と100人のお姫様,22,230930000,2700000.0,49550000,2022-03,2022/07/18
魔界ウォーズ,49,1520670000,16970000.0,238000000,2022-02,2022/10/21
黒騎士と白の魔王,55,3632500000,43970000.0,240000000,2022-07,2022/08/31
＃コンパス ライブアリーナ,11,467850000,29290000.0,132000000,2023-05,2023/07/31
＆0,7,192900000,25150000.0,40400000,2022-12,2023/02/01
