タイトル,売上合計,平均売上,サービス開始日,サービス終了日,分類,サービス継続月数
モンスターハンター エクスプロア,4819614545.454546,76501818.18181819,2015-09-29,2020-11-27,非IP,62
モンスターハンター ライダーズ,3452070769.230769,119036923.07692307,2020-02-19,2022-06-16,非IP,28
ユアマジェスティ,126932000.0,9764000.0,2022-10-21,2023-10-09,非IP,11
ユニティア神託の使徒×終焉の女神,280708235.2941176,13367058.823529411,2018-07-31,2020-03-31,非IP,20
ユージェネ,309977692.3076923,16314615.384615384,2021-06-16,2022-12-01,非IP,17
ユートピア・ゲート～双子の女神と未来へのつばさ～,190526153.84615386,10027692.307692308,2020-03-31,2021-09-30,非IP,18
ラクガキキングダム -あなたの未来を描く育成RPG-,210782000.0,19162000.0,2021-01-28,2021-11-02,非IP,9
ラストイデア,1211023333.3333333,86501666.66666666,2019-04-18,2020-05-29,非IP,13
ラストピリオド - 終わりなき螺旋の物語 -,5858624561.403508,73232807.01754385,2016-05-10,2022-12-27,非IP,80
ラピスリライツ 〜この世界のアイドルは魔法が使える〜,355104444.4444444,32282222.22222222,2021-12-14,2022-10-31,非IP,10
ラブプラス EVERY,382375714.28571427,34761428.57142857,2019-10-31,2020-08-31,非IP,10
ラブライブ！スクールアイドルフェスティバル2,1198608000.0,99884000.0,2023-04-15,2024-03-31,IP,11
ラブライブ！スクールアイドルフェスティバルALL STARS,10869881777.777779,236301777.7777778,2019-09-26,2023-06-30,IP,45
リボルバーズエイト - リボハチ,424032000.0,35336000.0,2019-01-22,2019-12-26,非IP,11
リンクスリングス,498432000.0,31152000.0,2019-05-30,2020-08-31,非IP,15
リーグ・オブ・ワンダーランド,30170000.0,4310000.0,2019-09-30,2020-03-31,非IP,6
ルミア サガ-ちび萌え自由大冒険,225098181.8181818,12505454.545454545,2020-08-28,2022-01-22,非IP,17
ルミナスフォレスト〜選ばれし三人の勇者たち,510786666.6666667,18242380.95238095,2019-12-19,2022-03-31,非IP,27
レイヤードストーリーズ ゼロ,397792500.0,28413750.0,2017-12-07,2019-01-08,IP,13
レジェンドオブリング,2987100000.0,55316666.666666664,2018-06-21,2022-11-18,非IP,53
